,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
16,Astoria,40.76850859335492,-73.91565374304234,Leli's Bakery and Pastry Shop,40.76513213736737,-73.91769587859852,Bakery
17,Astoria,40.76850859335492,-73.91565374304234,Brooklyn Bagel & Coffee Co.,40.76473187132709,-73.91694395951342,Bagel Shop
18,Astoria,40.76850859335492,-73.91565374304234,Seva Indian Cuisine,40.76552091157529,-73.91915721566768,Indian Restaurant
19,Astoria,40.76850859335492,-73.91565374304234,"Farid Kebab, Steinway",40.767548,-73.911972,Mediterranean Restaurant
20,Astoria,40.76850859335492,-73.91565374304234,Kal,40.76575,-73.91871,Korean Restaurant
21,Astoria,40.76850859335492,-73.91565374304234,Sweet Afton,40.76535,-73.918983,Bar
22,Astoria,40.76850859335492,-73.91565374304234,Chip,40.765517,-73.919339,Dessert Shop
23,Astoria,40.76850859335492,-73.91565374304234,Basil Brick Oven Pizza,40.77086476023009,-73.92008026388999,Pizza Place
24,Astoria,40.76850859335492,-73.91565374304234,Create & Go,40.76502149198756,-73.91717205518748,Salad Place
25,Astoria,40.76850859335492,-73.91565374304234,Viva Viva,40.76544115737148,-73.91876757144927,Mexican Restaurant
26,Astoria,40.76850859335492,-73.91565374304234,Cold Stone Creamery,40.765696,-73.913778,Ice Cream Shop
27,Astoria,40.76850859335492,-73.91565374304234,Ovelia Psistaria Bar,40.76577909596547,-73.91889019570948,Greek Restaurant
28,Astoria,40.76850859335492,-73.91565374304234,GiGi Salon Styling Studio - Aveda Concept Salon,40.765707,-73.918851,Health & Beauty Service
29,Astoria,40.76850859335492,-73.91565374304234,Mochiron Izakaya,40.76540640621974,-73.91850569094441,Japanese Restaurant
30,Astoria,40.76850859335492,-73.91565374304234,United Brothers Fruit Markets,40.76617826348878,-73.91993202386998,Grocery Store
31,Astoria,40.76850859335492,-73.91565374304234,New York Bakery Café,40.766443220617624,-73.92034069362454,Bakery
32,Astoria,40.76850859335492,-73.91565374304234,El Rey Del Taco Truck,40.766567983590924,-73.91969263545899,Food Truck
33,Astoria,40.76850859335492,-73.91565374304234,The Astorian,40.767333,-73.921255,Pub
34,Astoria,40.76850859335492,-73.91565374304234,Pochana Thai Kitchen,40.76586683618986,-73.91925648391081,Thai Restaurant
35,Astoria,40.76850859335492,-73.91565374304234,King of Falafel and Shawarma,40.7662239074707,-73.91932678222656,Middle Eastern Restaurant
36,Astoria,40.76850859335492,-73.91565374304234,Tikka Indian Grill,40.765397,-73.918658,Indian Restaurant
37,Astoria,40.76850859335492,-73.91565374304234,The Shady Lady,40.76544120609521,-73.91815954100994,Bar
38,Astoria,40.76850859335492,-73.91565374304234,Jujube Tree,40.76530893055949,-73.91816151712001,Vegetarian / Vegan Restaurant
39,Astoria,40.76850859335492,-73.91565374304234,Bohemian Hall & Beer Garden,40.77298079076918,-73.91598000312119,Beer Garden
40,Astoria,40.76850859335492,-73.91565374304234,The Grand,40.76464937398527,-73.91645981481022,Mediterranean Restaurant
41,Astoria,40.76850859335492,-73.91565374304234,Kabab Café,40.76776070750681,-73.91189147481663,Middle Eastern Restaurant
42,Astoria,40.76850859335492,-73.91565374304234,Crave Astoria,40.76526592389782,-73.91717258584941,Greek Restaurant
43,Astoria,40.76850859335492,-73.91565374304234,International Meat Market,40.764840408369444,-73.91699962138938,Food
44,Astoria,40.76850859335492,-73.91565374304234,The Sparrow Tavern,40.772935367519025,-73.91645686322842,Bar
45,Astoria,40.76850859335492,-73.91565374304234,Poke Burrito,40.76453965074503,-73.91626291108336,Poke Place
46,Astoria,40.76850859335492,-73.91565374304234,Albatross Bar,40.77004914155301,-73.9122439855205,Bar
47,Astoria,40.76850859335492,-73.91565374304234,Antika Restaurant & Pizzeria,40.764903413035924,-73.91715814610242,Italian Restaurant
48,Astoria,40.76850859335492,-73.91565374304234,Judy & Punch,40.76558788660594,-73.91878697297321,Bar
49,Astoria,40.76850859335492,-73.91565374304234,Neptune Diner,40.77078768729911,-73.91688990608493,Diner
50,Astoria,40.76850859335492,-73.91565374304234,Mombar,40.76741332013149,-73.91218107519089,Middle Eastern Restaurant
51,Astoria,40.76850859335492,-73.91565374304234,Midnight Lounge,40.76693047730325,-73.91246212832796,Hookah Bar
52,Astoria,40.76850859335492,-73.91565374304234,Koroni Souvlaki & Grill,40.76847401888144,-73.9211870791133,Souvlaki Shop
53,Astoria,40.76850859335492,-73.91565374304234,The Wolfhound,40.764017216784595,-73.91534133412702,Cocktail Bar
54,Astoria,40.76850859335492,-73.91565374304234,Egyptian Coffee Shop,40.7676602494743,-73.91176937941454,Hookah Bar
55,Astoria,40.76850859335492,-73.91565374304234,That's A Wrap,40.764192704714084,-73.91556227941737,Sandwich Place
56,Astoria,40.76850859335492,-73.91565374304234,Butcher Bar,40.76443654357215,-73.91627777034051,BBQ Joint
57,Astoria,40.76850859335492,-73.91565374304234,Mediterranean Foods,40.76557879518834,-73.91912280094809,Food & Drink Shop
58,Astoria,40.76850859335492,-73.91565374304234,Kiki's Nail & Spa,40.765424391283126,-73.91838281217116,Spa
59,Astoria,40.76850859335492,-73.91565374304234,CKO Kickboxing,40.76866662347918,-73.91072041964338,Gym / Fitness Center
60,Astoria,40.76850859335492,-73.91565374304234,Teapsy,40.76588729361489,-73.91916624148635,Bubble Tea Shop
61,Astoria,40.76850859335492,-73.91565374304234,Sugar Freak,40.764443337202955,-73.91605469466285,Cajun / Creole Restaurant
62,Astoria,40.76850859335492,-73.91565374304234,Queens Comfort,40.76464777461987,-73.91677540472237,Comfort Food Restaurant
63,Astoria,40.76850859335492,-73.91565374304234,The King Of Taco Truck,40.76599023979618,-73.91942854807205,Food Truck
64,Astoria,40.76850859335492,-73.91565374304234,Layali Beirut,40.766516467529115,-73.91295366864492,Hookah Bar
65,Astoria,40.76850859335492,-73.91565374304234,Elliniki Agora,40.766339152101246,-73.92014456849674,Food & Drink Shop
66,Astoria,40.76850859335492,-73.91565374304234,Gossip Coffee,40.764521949611066,-73.91646215978797,Coffee Shop
67,Astoria,40.76850859335492,-73.91565374304234,Burger Club,40.76648708944814,-73.9205783587744,Burger Joint
68,Astoria,40.76850859335492,-73.91565374304234,Pink Nori,40.76493207916268,-73.91722069971638,Japanese Restaurant
69,Astoria,40.76850859335492,-73.91565374304234,Elias Corner For Fish,40.77249603316814,-73.91581513157055,Seafood Restaurant
70,Astoria,40.76850859335492,-73.91565374304234,Gyro World,40.764872,-73.91737,Greek Restaurant
71,Astoria,40.76850859335492,-73.91565374304234,Greenbay Market,40.766698337653,-73.92100850953132,Grocery Store
72,Astoria,40.76850859335492,-73.91565374304234,Healthy Me,40.764499081836114,-73.91675300130188,Juice Bar
73,Astoria,40.76850859335492,-73.91565374304234,Via Trenta,40.76474329895629,-73.91664146607067,Italian Restaurant
74,Astoria,40.76850859335492,-73.91565374304234,Smart Choice Convenience Store,40.765585377317976,-73.91862193108781,Deli / Bodega
75,Astoria,40.76850859335492,-73.91565374304234,Blend Astoria,40.76440209510661,-73.91575898494503,Latin American Restaurant
76,Astoria,40.76850859335492,-73.91565374304234,Layali Dubai,40.76866645857328,-73.9109328752284,Middle Eastern Restaurant
77,Astoria,40.76850859335492,-73.91565374304234,Astoria Pizza,40.76648971271311,-73.92042287572502,Pizza Place
78,Astoria,40.76850859335492,-73.91565374304234,Dominie's,40.765688947965565,-73.91870246805206,Bar
79,Astoria,40.76850859335492,-73.91565374304234,Café Via Espresso,40.7686759,-73.9108511,Café
80,Astoria,40.76850859335492,-73.91565374304234,New York Sports Clubs,40.7641786,-73.9149709,Gym / Fitness Center
81,Astoria,40.76850859335492,-73.91565374304234,New York City Bagel & Coffee House,40.765841,-73.919441,Bagel Shop
82,Astoria,40.76850859335492,-73.91565374304234,Absolute Wine & Spirits,40.76557301229827,-73.91846405194195,Wine Shop
83,Astoria,40.76850859335492,-73.91565374304234,Jannah Charcoal & Grill,40.7640867218297,-73.91558201721965,Food Truck
84,Astoria,40.76850859335492,-73.91565374304234,Redken Salon,40.76491925450276,-73.91657723389481,Salon / Barbershop
85,Astoria,40.76850859335492,-73.91565374304234,Café To Go Creperie,40.76683085520095,-73.92044142362329,Café
86,Astoria,40.76850859335492,-73.91565374304234,Taj Mahal Lounge,40.76723703437689,-73.91219944717623,Hookah Bar
87,Astoria,40.76850859335492,-73.91565374304234,Sampan,40.76431864769857,-73.91466600127636,Chinese Restaurant
88,Astoria,40.76850859335492,-73.91565374304234,Grand Avenue Pizza,40.76532276769158,-73.91823278447133,Pizza Place
89,Astoria,40.76850859335492,-73.91565374304234,Aden Restaurant,40.768233,-73.911779,Middle Eastern Restaurant
90,Astoria,40.76850859335492,-73.91565374304234,Matsu Sushi,40.76558710454389,-73.91857219992431,Sushi Restaurant
91,Astoria,40.76850859335492,-73.91565374304234,Monkey King,40.76559166226072,-73.91912125221988,Bubble Tea Shop
92,Astoria,40.76850859335492,-73.91565374304234,Little Morocco,40.767939227370185,-73.91154321233094,Moroccan Restaurant
93,Astoria,40.76850859335492,-73.91565374304234,Nile Deli,40.76752716882993,-73.91208695181042,Deli / Bodega
94,Astoria,40.76850859335492,-73.91565374304234,Mijana Hookah Lounge & Restaurant,40.76957666926134,-73.91003923651408,Mediterranean Restaurant
95,Astoria,40.76850859335492,-73.91565374304234,Cafe Istanbul Mediterranean Restaurant and Hookah Lounge,40.766661,-73.91237000000001,Café
96,Astoria,40.76850859335492,-73.91565374304234,La Sabrosura Bakery,40.76570038023555,-73.91906080838193,Bakery
97,Astoria,40.76850859335492,-73.91565374304234,Wine Art,40.769059,-73.912348,Wine Shop
98,Astoria,40.76850859335492,-73.91565374304234,Sultana Cafe,40.767772121702826,-73.91169942030288,Hookah Bar
99,Astoria,40.76850859335492,-73.91565374304234,Nonna’s Pizzeria,40.768515,-73.90995600000001,Pizza Place
100,Woodside,40.74634908860222,-73.90184166838284,SriPraPhai,40.7463421117063,-73.89924799709517,Thai Restaurant
101,Woodside,40.74634908860222,-73.90184166838284,Fay Da Bakery,40.745836089217114,-73.90211547639107,Bakery
102,Woodside,40.74634908860222,-73.90184166838284,Izalco,40.7460602386716,-73.89975303010365,Latin American Restaurant
103,Woodside,40.74634908860222,-73.90184166838284,Jollibee,40.745986,-73.901197,Fast Food Restaurant
104,Woodside,40.74634908860222,-73.90184166838284,Rainbow Bakery,40.745406837473084,-73.90342289449981,Bakery
105,Woodside,40.74634908860222,-73.90184166838284,Red Ribbon,40.745899237512155,-73.89901100952764,Bakery
106,Woodside,40.74634908860222,-73.90184166838284,Thailand's Center Point,40.74653126911064,-73.90024748864484,Thai Restaurant
107,Woodside,40.74634908860222,-73.90184166838284,F. Ottomanelli Burgers and Belgian Fries,40.745027624845875,-73.90407788526826,Burger Joint
108,Woodside,40.74634908860222,-73.90184166838284,Casa Del Chef Bistro,40.74617380651571,-73.89994178798236,American Restaurant
109,Woodside,40.74634908860222,-73.90184166838284,Hair Village & Spa,40.7459007287776,-73.90110036935131,Spa
110,Woodside,40.74634908860222,-73.90184166838284,Pizza Boy 2,40.745424979439456,-73.90555677036292,Pizza Place
111,Woodside,40.74634908860222,-73.90184166838284,Stop Inn Diner,40.745526330272696,-73.90347626719475,Diner
112,Woodside,40.74634908860222,-73.90184166838284,Peking BBQ Chicken,40.7454884755732,-73.90605294847398,Chinese Restaurant
113,Woodside,40.74634908860222,-73.90184166838284,Cafe Con Amor,40.74603862638633,-73.89944081561286,American Restaurant
114,Woodside,40.74634908860222,-73.90184166838284,Woodside Cafe,40.74495693588502,-73.90417882427998,American Restaurant
115,Woodside,40.74634908860222,-73.90184166838284,Saints and Sinners,40.7455002318339,-73.9042508703017,Pub
116,Woodside,40.74634908860222,-73.90184166838284,Sean Og's,40.744865299112035,-73.90441983693239,Pub
117,Woodside,40.74634908860222,-73.90184166838284,Rico Pan Bakery,40.745502433421564,-73.90593178470648,Bakery
118,Woodside,40.74634908860222,-73.90184166838284,Sweet Basil Thai,40.74648420263391,-73.90303279550324,Thai Restaurant
119,Woodside,40.74634908860222,-73.90184166838284,The Beerkeeper,40.74547158055854,-73.90588553144923,Bar
120,Woodside,40.74634908860222,-73.90184166838284,Tropical Restaurant,40.74615453721113,-73.89728063783114,Latin American Restaurant
121,Woodside,40.74634908860222,-73.90184166838284,Matsuri,40.745625896247105,-73.90338725268603,Japanese Restaurant
122,Woodside,40.74634908860222,-73.90184166838284,House of Inasal,40.74598593212532,-73.89844933074619,Filipino Restaurant
123,Woodside,40.74634908860222,-73.90184166838284,Donovan's Pub,40.74535632079923,-73.9065903558088,Pub
124,Woodside,40.74634908860222,-73.90184166838284,Tacos y Quesadillas Mexico,40.74560403331841,-73.90313481143998,Food Truck
125,Woodside,40.74634908860222,-73.90184166838284,Blue Cups Cafe,40.74745807426534,-73.9026118109631,Coffee Shop
126,Woodside,40.74634908860222,-73.90184166838284,The Starting Gate,40.74535628501331,-73.90516977781992,Bar
127,Woodside,40.74634908860222,-73.90184166838284,Dollar & Up Fruits & Vegetables,40.74583995073963,-73.90239313216858,Fruit & Vegetable Store
128,Woodside,40.74634908860222,-73.90184166838284,La Abundancia,40.74986328191198,-73.89879135296557,Arepa Restaurant
129,Woodside,40.74634908860222,-73.90184166838284,Lucid Cafe,40.745390016710665,-73.90562137863272,Café
130,Woodside,40.74634908860222,-73.90184166838284,Momo Crave,40.746829,-73.896257,Tibetan Restaurant
131,Woodside,40.74634908860222,-73.90184166838284,Han Ah Reum Asian Mart,40.74464438582925,-73.90507419950346,Grocery Store
132,Woodside,40.74634908860222,-73.90184166838284,Veggie Monster,40.745064954651276,-73.90363974206427,Grocery Store
133,Woodside,40.74634908860222,-73.90184166838284,Inthira Thai Market,40.74638523360637,-73.89965309794127,Gourmet Shop
134,Woodside,40.74634908860222,-73.90184166838284,T-Mobile,40.7460562,-73.9001704,Mobile Phone Shop
135,Woodside,40.74634908860222,-73.90184166838284,Carvel Ice Cream,40.74536575480376,-73.90584083630512,Ice Cream Shop
136,Woodside,40.74634908860222,-73.90184166838284,Fresh n Save Marketplace,40.7458420455897,-73.90184003744078,Grocery Store
137,Woodside,40.74634908860222,-73.90184166838284,Baskin-Robbins,40.745435585542815,-73.90301432957952,Ice Cream Shop
138,Woodside,40.74634908860222,-73.90184166838284,Krystal's Cafe,40.74623298706588,-73.8961422620709,Filipino Restaurant
139,Woodside,40.74634908860222,-73.90184166838284,Chase Bank,40.7450415,-73.904684,Bank
140,Woodside,40.74634908860222,-73.90184166838284,St. Sebastian's Parish Center,40.746575220952884,-73.9074030948631,Gym / Fitness Center
141,Woodside,40.74634908860222,-73.90184166838284,D'Haven,40.750035329357594,-73.90420991484943,Restaurant
142,Woodside,40.74634908860222,-73.90184166838284,Dunkin',40.745428691891426,-73.90298936592939,Donut Shop
143,Woodside,40.74634908860222,-73.90184166838284,Rosario's Ihawan,40.74607024584939,-73.89608278870583,Filipino Restaurant
144,Woodside,40.74634908860222,-73.90184166838284,Bagels Plus,40.745660439233674,-73.90662960166131,Bagel Shop
145,Woodside,40.74634908860222,-73.90184166838284,Jin's Big Apple,40.74553376651552,-73.90405734757145,Gourmet Shop
146,Woodside,40.74634908860222,-73.90184166838284,Bravo Supermarkets,40.7457418,-73.8988663,Grocery Store
147,Woodside,40.74634908860222,-73.90184166838284,Pollos a La Brasa Mario,40.74497395017744,-73.90255498000465,Latin American Restaurant
148,Woodside,40.74634908860222,-73.90184166838284,Pollos A La Brassa Marion,40.746395102898575,-73.89604728072493,Latin American Restaurant
149,Woodside,40.74634908860222,-73.90184166838284,Dunkin',40.7457902,-73.9061259,Donut Shop
150,Woodside,40.74634908860222,-73.90184166838284,Chin Chin Thai Kitchen,40.74543465529699,-73.90703672551359,Thai Restaurant
151,Woodside,40.74634908860222,-73.90184166838284,Woodside Cafe,40.7494817570373,-73.89769551200501,Himalayan Restaurant
152,Woodside,40.74634908860222,-73.90184166838284,Little Caesars Pizza,40.745331,-73.906523,Pizza Place
153,Woodside,40.74634908860222,-73.90184166838284,Dunkin',40.7462412219199,-73.89594325898975,Donut Shop
154,Woodside,40.74634908860222,-73.90184166838284,Food Dynasty,40.74580949196776,-73.90173679750562,Grocery Store
155,Woodside,40.74634908860222,-73.90184166838284,CTown Supermarkets,40.7457113771246,-73.9047930576865,Grocery Store
156,Woodside,40.74634908860222,-73.90184166838284,Subway,40.74612,-73.896709,Sandwich Place
157,Woodside,40.74634908860222,-73.90184166838284,Stop & Deli,40.74375352926683,-73.90037557411556,Deli / Bodega
158,Woodside,40.74634908860222,-73.90184166838284,LIRR - Woodside Station,40.74566306009495,-73.90280180331838,Train Station
159,Woodside,40.74634908860222,-73.90184166838284,Hair Village,40.74589970985049,-73.901102837434,Salon / Barbershop
160,Woodside,40.74634908860222,-73.90184166838284,Rite Aid,40.74468232912069,-73.90370696783066,Pharmacy
161,Woodside,40.74634908860222,-73.90184166838284,Baby's Grill & Restaurant,40.746187129314784,-73.89659063806346,Filipino Restaurant
162,Woodside,40.74634908860222,-73.90184166838284,Subway,40.74574811224215,-73.90370595272657,Sandwich Place
163,Woodside,40.74634908860222,-73.90184166838284,Duane Reade,40.7453741,-73.9043621,Pharmacy
164,Woodside,40.74634908860222,-73.90184166838284,7-Eleven,40.745535809894115,-73.90524119138718,Convenience Store
165,Woodside,40.74634908860222,-73.90184166838284,Bum Bum Bar,40.74581946255844,-73.90068293969325,Bar
166,Woodside,40.74634908860222,-73.90184166838284,Big Bear Bubble Tea,40.74571339342285,-73.90684552723398,Tea Room
167,Woodside,40.74634908860222,-73.90184166838284,Woodside Mini Mall,40.74399931183303,-73.90235844229377,Convenience Store
168,Woodside,40.74634908860222,-73.90184166838284,daro's pizza & chicken woodside queens,40.746184831487646,-73.89689132133297,Pizza Place
169,Woodside,40.74634908860222,-73.90184166838284,Aunonto Dhaka Club,40.7499913,-73.90276221666667,Asian Restaurant
170,Woodside,40.74634908860222,-73.90184166838284,Delicias Ambateñas,40.74613780201098,-73.89629654791702,Spanish Restaurant
171,Woodside,40.74634908860222,-73.90184166838284,Juan Grocery,40.749401082507276,-73.89783532164009,Deli / Bodega
172,Woodside,40.74634908860222,-73.90184166838284,Broadway Wines & Liquors,40.74987030029297,-73.89836120605469,Wine Shop
173,Woodside,40.74634908860222,-73.90184166838284,MTA Subway - 65th St (M/R),40.749253991729304,-73.89743208604314,Metro Station
174,Woodside,40.74634908860222,-73.90184166838284,Cafe 58,40.743980168438995,-73.90683231167922,Café
175,Jackson Heights,40.75198138007367,-73.88282109164365,Oceanic Boil,40.749952326860104,-73.88190264370934,Cajun / Creole Restaurant
176,Jackson Heights,40.75198138007367,-73.88282109164365,Downtown Natural Market,40.750045874212105,-73.88240697837537,Grocery Store
177,Jackson Heights,40.75198138007367,-73.88282109164365,Pollos a la Brasa Mario,40.74980641853157,-73.88324280348476,Latin American Restaurant
178,Jackson Heights,40.75198138007367,-73.88282109164365,Sompong Thai,40.749506948439134,-73.88332349454005,Thai Restaurant
179,Jackson Heights,40.75198138007367,-73.88282109164365,La Nueva Bakery,40.75013375565077,-73.88022688172873,South American Restaurant
180,Jackson Heights,40.75198138007367,-73.88282109164365,El Chivito D' Oro,40.74983274151265,-73.88237605371638,South American Restaurant
181,Jackson Heights,40.75198138007367,-73.88282109164365,La Picada Azuaya,40.75014003333333,-73.881775,Spanish Restaurant
182,Jackson Heights,40.75198138007367,-73.88282109164365,Urubamba,40.75010891043233,-73.87970961391699,Peruvian Restaurant
183,Jackson Heights,40.75198138007367,-73.88282109164365,La Gran Uruguaya Bakery,40.750018002261626,-73.88129072062281,Bakery
184,Jackson Heights,40.75198138007367,-73.88282109164365,CoCo Fresh Tea & Juice,40.749595789873304,-73.88414293527603,Bubble Tea Shop
185,Jackson Heights,40.75198138007367,-73.88282109164365,Jahn's,40.74966209162248,-73.88504988594164,Diner
186,Jackson Heights,40.75198138007367,-73.88282109164365,Just Made 4 U,40.74963973228118,-73.88554430750861,Café
187,Jackson Heights,40.75198138007367,-73.88282109164365,Uncle Peter's,40.755785824308525,-73.88381022551096,Italian Restaurant
188,Jackson Heights,40.75198138007367,-73.88282109164365,Table Wine,40.749561547103134,-73.88661713346899,Wine Shop
189,Jackson Heights,40.75198138007367,-73.88282109164365,Pio Pio,40.75570509151695,-73.8831451037553,Peruvian Restaurant
190,Jackson Heights,40.75198138007367,-73.88282109164365,La Pollera Colorada II,40.75570414627714,-73.88487094703774,Latin American Restaurant
191,Jackson Heights,40.75198138007367,-73.88282109164365,Las Margaritas,40.749886108875145,-73.88255340825232,Latin American Restaurant
192,Jackson Heights,40.75198138007367,-73.88282109164365,Don Alex Restaurant,40.749881947134114,-73.88212120723138,Peruvian Restaurant
193,Jackson Heights,40.75198138007367,-73.88282109164365,Jackson House Diner,40.74979995743254,-73.88366319742882,Diner
194,Jackson Heights,40.75198138007367,-73.88282109164365,Seba Seba,40.755731001087646,-73.88420311978082,Bakery
195,Jackson Heights,40.75198138007367,-73.88282109164365,Black Thai,40.75546531349948,-73.8856754700667,Thai Restaurant
196,Jackson Heights,40.75198138007367,-73.88282109164365,Bocaito Cafe & Wine Bar,40.755799,-73.885737,Cocktail Bar
197,Jackson Heights,40.75198138007367,-73.88282109164365,Emoji Burger,40.749588946573525,-73.88590551928344,Burger Joint
198,Jackson Heights,40.75198138007367,-73.88282109164365,Pio Pio to Go,40.7559875849342,-73.88274675067117,Peruvian Restaurant
199,Jackson Heights,40.75198138007367,-73.88282109164365,Planet Fitness,40.748234101010084,-73.87992293529081,Gym / Fitness Center
200,Jackson Heights,40.75198138007367,-73.88282109164365,Banana Republic Factory,40.74930047298099,-73.88418518469943,Clothing Store
201,Jackson Heights,40.75198138007367,-73.88282109164365,Tomo Japanese Cuisine,40.75016941828497,-73.88014969825647,Sushi Restaurant
202,Jackson Heights,40.75198138007367,-73.88282109164365,La Pequeña Colombia,40.7479923507268,-73.88214460467232,Colombian Restaurant
203,Jackson Heights,40.75198138007367,-73.88282109164365,El Palacio De Los Cholados,40.75572462150954,-73.8838558978527,Dessert Shop
204,Jackson Heights,40.75198138007367,-73.88282109164365,Tacos Mi Mexico Lindo,40.74767666598954,-73.88239934125741,Mexican Restaurant
205,Jackson Heights,40.75198138007367,-73.88282109164365,Terraza 7,40.747514413850105,-73.88211709964355,Bar
206,Jackson Heights,40.75198138007367,-73.88282109164365,Variety Bakery,40.75538822938919,-73.88642903564931,Bakery
207,Jackson Heights,40.75198138007367,-73.88282109164365,Mama's Empanadas,40.75599899670048,-73.882393252858,Empanada Restaurant
208,Jackson Heights,40.75198138007367,-73.88282109164365,The Vitamin Shoppe,40.7499678,-73.8845565,Supplement Shop
209,Jackson Heights,40.75198138007367,-73.88282109164365,Boulevard,40.75555795151061,-73.88441161814654,Latin American Restaurant
210,Jackson Heights,40.75198138007367,-73.88282109164365,Gianni's Pizza & Italian Restaurant,40.755595687534765,-73.88587518376295,Pizza Place
211,Jackson Heights,40.75198138007367,-73.88282109164365,Seba Seba,40.74955400481388,-73.88629052701685,Latin American Restaurant
212,Jackson Heights,40.75198138007367,-73.88282109164365,Mama's Empanadas,40.755880397277316,-73.8829040496189,Empanada Restaurant
213,Jackson Heights,40.75198138007367,-73.88282109164365,La Cabaña,40.75606543043773,-73.88130596024332,Argentinian Restaurant
214,Jackson Heights,40.75198138007367,-73.88282109164365,Sac's Place,40.75016338721108,-73.88008384593776,Pizza Place
215,Jackson Heights,40.75198138007367,-73.88282109164365,Hombres Lounge,40.74999519358585,-73.88081184466778,Gay Bar
216,Jackson Heights,40.75198138007367,-73.88282109164365,Arunee Thai,40.74949811139184,-73.88738656779499,Thai Restaurant
217,Jackson Heights,40.75198138007367,-73.88282109164365,Barriles Restaurant and Sports bar,40.749683000000005,-73.882702,Spanish Restaurant
218,Jackson Heights,40.75198138007367,-73.88282109164365,Amaru Pisco Bar,40.755863883816154,-73.88300890731006,Lounge
219,Jackson Heights,40.75198138007367,-73.88282109164365,Pollos Mario #3,40.74821955092233,-73.87963869323879,South American Restaurant
220,Jackson Heights,40.75198138007367,-73.88282109164365,Juanita’s Café,40.75588821795663,-73.88288343998954,Peruvian Restaurant
221,Jackson Heights,40.75198138007367,-73.88282109164365,Starbucks,40.74955752,-73.88739013,Coffee Shop
222,Jackson Heights,40.75198138007367,-73.88282109164365,La Gloria,40.756176493989386,-73.88117554542065,Cuban Restaurant
223,Jackson Heights,40.75198138007367,-73.88282109164365,Taco Veloz,40.74803720580167,-73.88030755060078,Mexican Restaurant
224,Jackson Heights,40.75198138007367,-73.88282109164365,Dela Mora,40.75590127590323,-73.88281027933253,Latin American Restaurant
225,Jackson Heights,40.75198138007367,-73.88282109164365,Rite Aid,40.7499286,-73.8842128,Pharmacy
226,Jackson Heights,40.75198138007367,-73.88282109164365,SKECHERS Warehouse Outlet,40.749000549316406,-73.88445281982422,Shoe Store
227,Jackson Heights,40.75198138007367,-73.88282109164365,Carter's,40.748946,-73.884454,Kids Store
228,Jackson Heights,40.75198138007367,-73.88282109164365,Joseph Pulitzer IS 145,40.7541360075361,-73.88716126482072,School
229,Jackson Heights,40.75198138007367,-73.88282109164365,D'antigua,40.75554,-73.8828352,Latin American Restaurant
230,Jackson Heights,40.75198138007367,-73.88282109164365,T-Mobile,40.748516484576356,-73.88431124389172,Mobile Phone Shop
231,Jackson Heights,40.75198138007367,-73.88282109164365,Ingrid's Hair & Nail Salon,40.749439,-73.887119,Spa
232,Jackson Heights,40.75198138007367,-73.88282109164365,La Boina Roja Steakhouse,40.74964484877423,-73.88550182439675,Steakhouse
233,Jackson Heights,40.75198138007367,-73.88282109164365,JH Laundromat,40.75016803311009,-73.88096299665372,Laundromat
234,Jackson Heights,40.75198138007367,-73.88282109164365,GNC,40.74895679232082,-73.88416657639141,Supplement Shop
